Description|Price|Rating|ReviewCount|Url
Description|Price|Rating|ReviewCount|Url
Apple iPad (9th Gen) 256 GB ROM 10.2 inch with Wi-Fi+4G (Space Grey)|₹57,900|4.6|38,262 Ratings & 2,835 Reviews|https://www.flipkart.com/apple-ipad-9th-gen-256-gb-rom-10-2-inch-wi-fi-4g-space-grey/p/itmecf855c08eae5?pid=TABG6VNCJCNHYMPD&lid=LSTTABG6VNCJCNHYMPDKBR870&marketplace=FLIPKART&q=ipad&store=tyy%2Fhry&srno=s_2_30&otracker=search&otracker1=search&fm=organic&iid=265bdcd8-8ff4-4fab-a5dd-2d70999e503f.TABG6VNCJCNHYMPD.SEARCH&ppt=sp&ppn=sp&ssid=9q60svbisg0000001709629171484&qH=09401fded433c347
Apple iPad Air (5th gen) 64 GB ROM 10.9 Inch with Wi-Fi Only (Pink)|₹57,999|4.6|3,261 Ratings & 182 Reviews|https://www.flipkart.com/apple-ipad-air-5th-gen-64-gb-rom-10-9-inch-wi-fi-only-pink/p/itm19a1c744e4476?pid=TABGCA2K3SH553AG&lid=LSTTABGCA2K3SH553AGB3AXWS&marketplace=FLIPKART&q=ipad&store=tyy%2Fhry&srno=s_2_31&otracker=search&otracker1=search&fm=organic&iid=265bdcd8-8ff4-4fab-a5dd-2d70999e503f.TABGCA2K3SH553AG.SEARCH&ppt=sp&ppn=sp&ssid=9q60svbisg0000001709629171484&qH=09401fded433c347
Apple iPad Air (5th gen) 64 GB ROM 10.9 Inch with Wi-Fi Only (Purple)|₹57,999|4.6|3,261 Ratings & 182 Reviews|https://www.flipkart.com/apple-ipad-air-5th-gen-64-gb-rom-10-9-inch-wi-fi-only-purple/p/itmd8f0459e7ba51?pid=TABGCA2KHDAUQYRP&lid=LSTTABGCA2KHDAUQYRPMOCIY2&marketplace=FLIPKART&q=ipad&store=tyy%2Fhry&srno=s_2_32&otracker=search&otracker1=search&fm=organic&iid=265bdcd8-8ff4-4fab-a5dd-2d70999e503f.TABGCA2KHDAUQYRP.SEARCH&ppt=sp&ppn=sp&ssid=9q60svbisg0000001709629171484&qH=09401fded433c347
Apple iPad Air (5th gen) 64 GB ROM 10.9 Inch with Wi-Fi Only (Space Grey)|₹57,999|4.6|3,261 Ratings & 182 Reviews|https://www.flipkart.com/apple-ipad-air-5th-gen-64-gb-rom-10-9-inch-wi-fi-only-space-grey/p/itm4532f8d4027d8?pid=TABGCA2KDRCZVHGZ&lid=LSTTABGCA2KDRCZVHGZ8LIWBO&marketplace=FLIPKART&q=ipad&store=tyy%2Fhry&srno=s_2_33&otracker=search&otracker1=search&fm=organic&iid=265bdcd8-8ff4-4fab-a5dd-2d70999e503f.TABGCA2KDRCZVHGZ.SEARCH&ppt=sp&ppn=sp&ssid=9q60svbisg0000001709629171484&qH=09401fded433c347
Apple iPad Air (5th gen) 64 GB ROM 10.9 Inch with Wi-Fi Only (Star Light)|₹57,999|4.6|3,261 Ratings & 182 Reviews|https://www.flipkart.com/apple-ipad-air-5th-gen-64-gb-rom-10-9-inch-wi-fi-only-star-light/p/itm2de805ed6bb77?pid=TABGCA2KBQHMUND2&lid=LSTTABGCA2KBQHMUND2ZZ2KO6&marketplace=FLIPKART&q=ipad&store=tyy%2Fhry&srno=s_2_34&otracker=search&otracker1=search&fm=organic&iid=265bdcd8-8ff4-4fab-a5dd-2d70999e503f.TABGCA2KBQHMUND2.SEARCH&ppt=sp&ppn=sp&ssid=9q60svbisg0000001709629171484&qH=09401fded433c347
Apple ipad Mini (2019) 256 GB ROM 7.9 inch with Wi-Fi+4G (Silver)|₹59,049|4.6|5,587 Ratings & 804 Reviews|https://www.flipkart.com/apple-ipad-mini-2019-256-gb-rom-7-9-inch-wi-fi-4g-silver/p/itm19a0883e4ccf7?pid=TABFETM4RQHYVXY3&lid=LSTTABFETM4RQHYVXY3R3J2Y8&marketplace=FLIPKART&q=ipad&store=tyy%2Fhry&srno=s_2_35&otracker=search&otracker1=search&fm=organic&iid=265bdcd8-8ff4-4fab-a5dd-2d70999e503f.TABFETM4RQHYVXY3.SEARCH&ppt=sp&ppn=sp&ssid=9q60svbisg0000001709629171484&qH=09401fded433c347
Apple ipad Mini (2019) 256 GB ROM 7.9 inch with Wi-Fi+4G (Space Grey)|₹59,049|4.6|5,587 Ratings & 804 Reviews|https://www.flipkart.com/apple-ipad-mini-2019-256-gb-rom-7-9-inch-wi-fi-4g-space-grey/p/itmcb5a6be7169c6?pid=TABFETM4BZN5YDCH&lid=LSTTABFETM4BZN5YDCHW6XZT8&marketplace=FLIPKART&q=ipad&store=tyy%2Fhry&srno=s_2_36&otracker=search&otracker1=search&fm=organic&iid=265bdcd8-8ff4-4fab-a5dd-2d70999e503f.TABFETM4BZN5YDCH.SEARCH&ppt=sp&ppn=sp&ssid=9q60svbisg0000001709629171484&qH=09401fded433c347
Apple iPad mini (6th Gen) 64 GB ROM 8.3 inch with Wi-Fi+5G (Pink)|₹59,067|4.6|939 Ratings & 93 Reviews|https://www.flipkart.com/apple-ipad-mini-6th-gen-64-gb-rom-8-3-inch-wi-fi-5g-pink/p/itm98a9ec45e41f7?pid=TABG6VNRAPWVTHWF&lid=LSTTABG6VNRAPWVTHWFXMGF5C&marketplace=FLIPKART&q=ipad&store=tyy%2Fhry&srno=s_2_37&otracker=search&otracker1=search&fm=organic&iid=265bdcd8-8ff4-4fab-a5dd-2d70999e503f.TABG6VNRAPWVTHWF.SEARCH&ppt=sp&ppn=sp&ssid=9q60svbisg0000001709629171484&qH=09401fded433c347
Apple iPad mini (6th Gen) 64 GB ROM 8.3 inch with Wi-Fi+5G (Starlight)|₹59,067|4.6|939 Ratings & 93 Reviews|https://www.flipkart.com/apple-ipad-mini-6th-gen-64-gb-rom-8-3-inch-wi-fi-5g-starlight/p/itm20aad84648b91?pid=TABG6VNRZAFEZ6S4&lid=LSTTABG6VNRZAFEZ6S4O8TUL0&marketplace=FLIPKART&q=ipad&store=tyy%2Fhry&srno=s_2_38&otracker=search&otracker1=search&fm=organic&iid=265bdcd8-8ff4-4fab-a5dd-2d70999e503f.TABG6VNRZAFEZ6S4.SEARCH&ppt=sp&ppn=sp&ssid=9q60svbisg0000001709629171484&qH=09401fded433c347
Apple iPad mini (6th Gen) 64 GB ROM 8.3 inch with Wi-Fi+5G (Purple)|₹60,900|4.6|939 Ratings & 93 Reviews|https://www.flipkart.com/apple-ipad-mini-6th-gen-64-gb-rom-8-3-inch-wi-fi-5g-purple/p/itm1a12c840ff24a?pid=TABG6VNREFYN8BF5&lid=LSTTABG6VNREFYN8BF5RSSS0X&marketplace=FLIPKART&q=ipad&store=tyy%2Fhry&srno=s_2_39&otracker=search&otracker1=search&fm=organic&iid=265bdcd8-8ff4-4fab-a5dd-2d70999e503f.TABG6VNREFYN8BF5.SEARCH&ppt=sp&ppn=sp&ssid=9q60svbisg0000001709629171484&qH=09401fded433c347
